id,observed_on_string,observed_on,time_observed_at,scientific_name,common_name
485,05/02/08,2008-05-02,,Phainopepla nitens,Phainopepla
486,05/03/08,2008-05-03,,Callipepla gambelii,Gambel's Quail
1842,"March 07, 2009 09:00",2009-03-07,2009-03-07 17:00:00 +0000,Calypte anna,Anna's Hummingbird
1843,"March 07, 2009 08:55",2009-03-07,2009-03-07 16:55:00 +0000,Amphispiza bilineata,Black-throated Sparrow
2063,"March 07, 2009 11:49",2009-03-07,2009-03-07 19:49:00 +0000,Spinus psaltria,Lesser Goldfinch
2064,"March 07, 2009 10:56",2009-03-07,2009-03-07 18:56:00 +0000,Calypte anna,Anna's Hummingbird
2065,"March 06, 2009 15:39",2009-03-06,2009-03-06 23:39:00 +0000,Phainopepla nitens,Phainopepla
2066,"March 08, 2009 07:52",2009-03-08,2009-03-08 14:52:00 +0000,Sayornis saya,Say's Phoebe
2067,"March 08, 2009 07:00",2009-03-08,2009-03-08 14:00:00 +0000,Lanius ludovicianus,Loggerhead Shrike
2068,"March 08, 2009 06:56",2009-03-08,2009-03-08 13:56:00 +0000,Campylorhynchus brunneicapillus,Cactus Wren
2069,"March 07, 2009 13:06",2009-03-07,2009-03-07 21:06:00 +0000,Phainopepla nitens,Phainopepla
27233,"August 4, 2011 2:29:13 PM PDT",2011-08-04,2011-08-04 21:29:13 +0000,Piranga ludoviciana,Western Tanager
27242,"August 4, 2011 3:19:38 PM PDT",2011-08-04,2011-08-04 22:19:38 +0000,Callipepla gambelii,Gambel's Quail
27256,"August 4, 2011 4:26:10 PM PDT",2011-08-04,2011-08-04 23:26:10 +0000,Dryobates scalaris,Ladder-backed Woodpecker
36548,2010-04-03,2010-04-03,,Callipepla gambelii,Gambel's Quail
36550,2010-04-03,2010-04-03,,Lanius ludovicianus,Loggerhead Shrike
62134,2011-12-28,2011-12-28,,Campylorhynchus brunneicapillus,Cactus Wren
64909,2009-03-31,2009-03-31,,Pelecanus erythrorhynchos,American White Pelican
65274,2009-03-30,2009-03-30,,Anas platyrhynchos,Mallard
65291,2009-03-29,2009-03-29,,Amphispiza bilineata,Black-throated Sparrow
140996,"October 26, 2012 11:38",2012-10-26,2012-10-26 18:38:00 +0000,Corvus corax,Common Raven
169940,2012-12-12,2012-12-12,,Callipepla gambelii,Gambel's Quail
169945,2012-12-12,2012-12-12,,Toxostoma lecontei,LeConte's Thrasher
169946,2012-12-12,2012-12-12,,Aphelocoma californica,California Scrub-Jay
169947,2012-12-12,2012-12-12,,Phainopepla nitens,Phainopepla
169948,2012-12-12,2012-12-12,,Campylorhynchus brunneicapillus,Cactus Wren
169949,2012-12-12,2012-12-12,,Astur cooperii,Cooper's Hawk
169950,2012-12-12,2012-12-12,,Campylorhynchus brunneicapillus,Cactus Wren
169960,2012-12-13,2012-12-13,,Lanius ludovicianus,Loggerhead Shrike
218081,2013-03-13 02:03:09,2013-03-13,2013-03-13 09:03:09 +0000,Phainopepla nitens,Phainopepla
218114,2013-03-14 21:53:41,2013-03-14,2013-03-15 04:53:41 +0000,Oreoscoptes montanus,Sage Thrasher
218135,2013-03-13 02:30:23,2013-03-13,2013-03-13 09:30:23 +0000,Polioptila melanura,Black-tailed Gnatcatcher
218136,2013-03-13 02:02:26,2013-03-13,2013-03-13 09:02:26 +0000,Haemorhous mexicanus,House Finch
218331,2013-03-15,2013-03-15,,Amphispiza bilineata,Black-throated Sparrow
218728,2013-03-15 03:45:46,2013-03-15,2013-03-15 10:45:46 +0000,Calypte anna,Anna's Hummingbird
218729,2013-03-15 03:43:58,2013-03-15,2013-03-15 10:43:58 +0000,Thryomanes bewickii,Bewick's Wren
218836,2013-03-15,2013-03-15,,Campylorhynchus brunneicapillus,Cactus Wren
218858,2013-03-14,2013-03-14,,Dryobates scalaris,Ladder-backed Woodpecker
218871,2013-03-14,2013-03-14,,Lanius ludovicianus,Loggerhead Shrike
219393,2013-03-14,2013-03-14,,Amphispiza bilineata,Black-throated Sparrow
219402,2013-03-14,2013-03-14,,Phainopepla nitens,Phainopepla
224929,2013-03-28,2013-03-28,,Corvus corax,Common Raven
224930,2013-03-28,2013-03-28,,Melospiza lincolnii,Lincoln's Sparrow
224931,2013-03-28,2013-03-28,,Amphispiza bilineata,Black-throated Sparrow
224932,2013-03-28,2013-03-28,,Phainopepla nitens,Phainopepla
225726,2013-03-29,2013-03-29,,Phainopepla nitens,Phainopepla
225727,2013-03-29,2013-03-29,,Amphispiza bilineata,Black-throated Sparrow
225728,2013-03-29,2013-03-29,,Salpinctes obsoletus,Rock Wren
225729,2013-03-29,2013-03-29,,Campylorhynchus brunneicapillus,Cactus Wren
225730,2013-03-29,2013-03-29,,Psaltriparus minimus,Bushtit
225732,2013-03-29,2013-03-29,,Lanius ludovicianus,Loggerhead Shrike
226227,2013-03-24,2013-03-24,,Toxostoma redivivum,California Thrasher
231179,2013-03-13 02:58:02,2013-03-13,2013-03-13 09:58:02 +0000,Buteo jamaicensis,Red-tailed Hawk
231195,2013-03-14 02:37:23,2013-03-14,2013-03-14 09:37:23 +0000,Aphelocoma californica,California Scrub-Jay
231196,2013-03-14 02:35:22,2013-03-14,2013-03-14 09:35:22 +0000,Pipilo maculatus,Spotted Towhee
231197,2013-03-14 02:10:14,2013-03-14,2013-03-14 09:10:14 +0000,Dryobates scalaris,Ladder-backed Woodpecker
231198,2013-03-14 02:01:41,2013-03-14,2013-03-14 09:01:41 +0000,Lanius ludovicianus,Loggerhead Shrike
231200,2013-03-14 01:48:24,2013-03-14,2013-03-14 08:48:24 +0000,Junco hyemalis,Dark-eyed Junco
231201,2013-03-14 01:36:31,2013-03-14,2013-03-14 08:36:31 +0000,Baeolophus inornatus,Oak Titmouse
231204,2013-03-14 01:21:39,2013-03-14,2013-03-14 08:21:39 +0000,Calypte anna,Anna's Hummingbird
361110,2007-12-11,2007-12-11,,Callipepla gambelii,Gambel's Quail
361133,2011-06-17,2011-06-17,,Falco sparverius,American Kestrel
370758,2007-12-11,2007-12-11,,Baeolophus inornatus,Oak Titmouse
371737,2007-06-21,2007-06-21,,Fulica americana,American Coot
452569,2013-10-31 14:20:46,2013-10-31,2013-10-31 18:20:46 +0000,Baeolophus inornatus,Oak Titmouse
452572,2013-10-31 14:28:52,2013-10-31,2013-10-31 18:28:52 +0000,Corvus corax,Common Raven
452573,2013-10-31 14:35:44,2013-10-31,2013-10-31 18:35:44 +0000,Corthylio calendula,Ruby-crowned Kinglet
452574,2013-10-31 14:49:46,2013-10-31,2013-10-31 18:49:46 +0000,Salpinctes obsoletus,Rock Wren
452578,2013-10-31 14:57:11,2013-10-31,2013-10-31 18:57:11 +0000,Junco hyemalis,Dark-eyed Junco
452579,2013-10-31 15:10:41,2013-10-31,2013-10-31 19:10:41 +0000,Aphelocoma californica,California Scrub-Jay
452580,2013-10-31 15:13:58,2013-10-31,2013-10-31 19:13:58 +0000,Zonotrichia leucophrys,White-crowned Sparrow
452581,2013-10-31 15:12:52,2013-10-31,2013-10-31 19:12:52 +0000,Zonotrichia leucophrys,White-crowned Sparrow
453172,2013-10-31 15:31:43,2013-10-31,2013-10-31 19:31:43 +0000,Corvus corax,Common Raven
453173,2013-10-31 15:37:33,2013-10-31,2013-10-31 19:37:33 +0000,Zonotrichia atricapilla,Golden-crowned Sparrow
453174,2013-10-31 15:40:54,2013-10-31,2013-10-31 19:40:54 +0000,Junco hyemalis,Dark-eyed Junco
453175,2013-10-31 15:43:11,2013-10-31,2013-10-31 19:43:11 +0000,Zonotrichia leucophrys,White-crowned Sparrow
453176,2013-10-31 16:00:36,2013-10-31,2013-10-31 20:00:36 +0000,Setophaga townsendi × occidentalis,Townsend's × Hermit Warbler
453177,2013-10-31 16:11:11,2013-10-31,2013-10-31 20:11:11 +0000,Amphispiza bilineata,Black-throated Sparrow
453178,2013-10-31 16:12:00,2013-10-31,2013-10-31 20:12:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow
454319,2013-11-01 10:17:02,2013-11-01,2013-11-01 14:17:02 +0000,Salpinctes obsoletus,Rock Wren
454321,2013-11-01 10:27:32,2013-11-01,2013-11-01 14:27:32 +0000,Sialia currucoides,Mountain Bluebird
454323,2013-11-01 10:29:10,2013-11-01,2013-11-01 14:29:10 +0000,Zonotrichia leucophrys,White-crowned Sparrow
454325,2013-11-01 10:39:03,2013-11-01,2013-11-01 14:39:03 +0000,Sialia currucoides,Mountain Bluebird
454326,2013-11-01 10:37:16,2013-11-01,2013-11-01 14:37:16 +0000,Setophaga coronata auduboni,Audubon's Warbler
454331,2013-11-01 11:12:35,2013-11-01,2013-11-01 15:12:35 +0000,Salpinctes obsoletus,Rock Wren
454334,2013-11-01 11:19:10,2013-11-01,2013-11-01 15:19:10 +0000,Spizella breweri,Brewer's Sparrow
454350,2013-11-01 12:38:44,2013-11-01,2013-11-01 16:38:44 +0000,Calypte anna,Anna's Hummingbird
468993,2008-05-10 10:00:32,2008-05-10,2008-05-10 17:00:32 +0000,Phainopepla nitens,Phainopepla
468994,2008-05-10 10:00:06,2008-05-10,2008-05-10 17:00:06 +0000,Zenaida macroura,Mourning Dove
468995,2008-05-10 09:43:41,2008-05-10,2008-05-10 16:43:41 +0000,Corvus corax,Common Raven
468996,2008-05-10 09:33:06,2008-05-10,2008-05-10 16:33:06 +0000,Myiarchus cinerascens,Ash-throated Flycatcher
468997,2008-05-10 12:33:22,2008-05-10,2008-05-10 19:33:22 +0000,Thryomanes bewickii,Bewick's Wren
468998,2008-05-10 12:22:13,2008-05-10,2008-05-10 19:22:13 +0000,Piranga ludoviciana,Western Tanager
468999,2008-05-10 10:46:29,2008-05-10,2008-05-10 17:46:29 +0000,Auriparus flaviceps,Verdin
469004,2008-05-10 10:10:35,2008-05-10,2008-05-10 17:10:35 +0000,Molothrus ater,Brown-headed Cowbird
469006,2008-05-10 12:20:52,2008-05-10,2008-05-10 19:20:52 +0000,Corvus corax,Common Raven
542981,2014-02-22 09:57:44,2014-02-22,2014-02-22 15:57:44 +0000,Sayornis saya,Say's Phoebe
542986,2014-02-22 10:56:04,2014-02-22,2014-02-22 16:56:04 +0000,Phainopepla nitens,Phainopepla
648243,2014-04-27,2014-04-27,,Buteo jamaicensis,Red-tailed Hawk
648244,2014-04-27,2014-04-27,,Campylorhynchus brunneicapillus,Cactus Wren
648245,2014-04-27,2014-04-27,,Icterus parisorum,Scott's Oriole
648246,2014-04-27,2014-04-27,,Myiarchus cinerascens,Ash-throated Flycatcher
648247,2014-04-27,2014-04-27,,Empidonax hammondii,Hammond's Flycatcher
648248,2014-04-27,2014-04-27,,Calypte costae,Costa's Hummingbird
648249,2014-04-27,2014-04-27,,Callipepla gambelii,Gambel's Quail
648250,2014-04-27,2014-04-27,,Haemorhous mexicanus,House Finch
648251,2014-04-27,2014-04-27,,Amphispiza bilineata,Black-throated Sparrow
662804,2014-05-02 18:45,2014-05-02,2014-05-03 01:45:00 +0000,Gymnorhinus cyanocephalus,Pinyon Jay
676313,2014-05-13 10:30,2014-05-13,2014-05-13 17:30:00 +0000,Pheucticus melanocephalus,Black-headed Grosbeak
709571,2014-05-25 18:16:23,2014-05-25,2014-05-26 01:16:23 +0000,Callipepla gambelii,Gambel's Quail
709572,2014-05-25 18:16:33,2014-05-25,2014-05-26 01:16:33 +0000,Callipepla gambelii,Gambel's Quail
709573,2014-05-25 18:16:41,2014-05-25,2014-05-26 01:16:41 +0000,Callipepla gambelii,Gambel's Quail
709574,2014-05-25 19:10:10,2014-05-25,2014-05-26 02:10:10 +0000,Pheucticus melanocephalus,Black-headed Grosbeak
715601,2014-05-25 19:07:06,2014-05-25,2014-05-26 02:07:06 +0000,Pheucticus melanocephalus,Black-headed Grosbeak
717636,2014-05-25 18:13:28,2014-05-25,2014-05-26 01:13:28 +0000,Callipepla gambelii,Gambel's Quail
744920,2014-05-25 16:41:50,2014-05-25,2014-05-25 23:41:50 +0000,Mimus polyglottos,Northern Mockingbird
745945,2014-06-19,2014-06-19,,Buteo jamaicensis,Red-tailed Hawk
762102,2014-06-29 18:25:15,2014-06-29,2014-06-30 00:25:15 +0000,Icterus parisorum,Scott's Oriole
821315,2014-08-06 09:12:00,2014-08-06,2014-08-06 15:12:00 +0000,Amphispiza bilineata,Black-throated Sparrow
900070,2011-01-15 13:44:27,2011-01-15,2011-01-15 21:44:27 +0000,Amphispiza bilineata,Black-throated Sparrow
900074,2011-01-15 13:44:27,2011-01-15,2011-01-15 21:44:27 +0000,Buteo jamaicensis,Red-tailed Hawk
1025659,Thu Jul 17 2014 11:30:43 GMT-0400 (EDT),2014-07-17,2014-07-17 15:30:43 +0000,Amphispiza bilineata,Black-throated Sparrow
1031154,2008-05-10 09:52:49,2008-05-10,2008-05-10 16:52:49 +0000,Myiarchus cinerascens,Ash-throated Flycatcher
1154217,Wed Dec 31 2014 14:13:12 GMT-0800 (PST),2014-12-31,2014-12-31 22:13:12 +0000,Campylorhynchus brunneicapillus,Cactus Wren
1192114,2015-01-18 13:07:27,2015-01-18,2015-01-18 21:07:27 +0000,Sphyrapicus nuchalis,Red-naped Sapsucker
