ParkName,SciName,Nativeness,CategoryName,Observations
Joshua Tree National Park,Peucaea casinii,Native,Bird,0
Joshua Tree National Park,Accipiter gentilis,Native,Bird,0
Joshua Tree National Park,Buteo jamaicensis,Native,Bird,45
Joshua Tree National Park,Buteo nitidus,Native,Bird,0
Joshua Tree National Park,Buteo swainsoni,Native,Bird,4
Joshua Tree National Park,Haliaeetus leucocephalus,Native,Bird,0
Joshua Tree National Park,Gymnogyps californianus,Native,Bird,0
Joshua Tree National Park,Anas acuta,Native,Bird,2
Joshua Tree National Park,Anas crecca,Native,Bird,9
Joshua Tree National Park,Anas platyrhynchos,Native,Bird,24
Joshua Tree National Park,Aythya americana,Native,Bird,1
Joshua Tree National Park,Branta bernicla,Native,Bird,0
Joshua Tree National Park,Chen caerulescens,Native,Bird,2
Joshua Tree National Park,Melanitta fusca,Native,Bird,1
Joshua Tree National Park,Oxyura jamaicensis,Native,Bird,10
Joshua Tree National Park,Archilochus alexandri,Native,Bird,7
Joshua Tree National Park,Selasphorus,NA,Bird,0
Joshua Tree National Park,Selasphorus sasin,Native,Bird,2
Joshua Tree National Park,Chordeiles minor,Native,Bird,0
Joshua Tree National Park,Charadrius vociferus,Native,Bird,16
Joshua Tree National Park,Larus delawarensis,Native,Bird,0
Joshua Tree National Park,Recurvirostra americana,Native,Bird,3
Joshua Tree National Park,Calidris mauri,Native,Bird,1
Joshua Tree National Park,Limnodromus scolopaceus,Native,Bird,1
Joshua Tree National Park,Phalaropus tricolor,Native,Bird,3
Joshua Tree National Park,Tringa semipalmata,Native,Bird,0
Joshua Tree National Park,Columbina passerina,Native,Bird,2
Joshua Tree National Park,Zenaida macroura,Native,Bird,90
Joshua Tree National Park,Geococcyx californianus,Native,Bird,36
Joshua Tree National Park,Falco peregrinus,Native,Bird,0
Joshua Tree National Park,Callipepla gambelii,Native,Bird,76
Joshua Tree National Park,Gavia immer,Native,Bird,2
Joshua Tree National Park,Porzana carolina,Native,Bird,9
Joshua Tree National Park,Eremophila alpestris,Native,Bird,15
Joshua Tree National Park,Calcarius lapponicus,Native,Bird,0
Joshua Tree National Park,Passerina caerulea,Native,Bird,3
Joshua Tree National Park,Passerina versicolor,Native,Bird,0
Joshua Tree National Park,Piranga ludoviciana,Native,Bird,71
Joshua Tree National Park,Aphelocoma californica,Native,Bird,123
Joshua Tree National Park,Gymnorhinus cyanocephalus,Native,Bird,44
Joshua Tree National Park,Carpodacus mexicanus,Native,Bird,153
Joshua Tree National Park,Loxia curvirostra,Native,Bird,1
Joshua Tree National Park,Spinus psaltria,Native,Bird,82
Joshua Tree National Park,Petrochelidon pyrrhonota,Native,Bird,13
Joshua Tree National Park,Stelgidopteryx serripennis,Native,Bird,9
Joshua Tree National Park,Agelaius phoeniceus,Native,Bird,19
Joshua Tree National Park,Icterus bullockii,Native,Bird,32
Joshua Tree National Park,Icterus parisorum,Native,Bird,73
Joshua Tree National Park,Quiscalus mexicanus,Native,Bird,2
Joshua Tree National Park,Lanius excubitor,Native,Bird,0
Joshua Tree National Park,Mimus polyglottos,Native,Bird,48
Joshua Tree National Park,Toxostoma crissale,Native,Bird,0
Joshua Tree National Park,Toxostoma rufum,Native,Bird,2
Joshua Tree National Park,Baeolophus inornatus,Native,Bird,74
Joshua Tree National Park,Cardellina pusilla,Native,Bird,101
Joshua Tree National Park,Geothlypis tolmiei,Native,Bird,45
Joshua Tree National Park,Mniotilta varia,Native,Bird,2
Joshua Tree National Park,Oreothlypis celata,Native,Bird,64
Joshua Tree National Park,Oreothlypis ruficapilla,Native,Bird,38
Joshua Tree National Park,Parkesia noveboracensis,Native,Bird,0
Joshua Tree National Park,Setophaga citrina,Native,Bird,1
Joshua Tree National Park,Setophaga palmarum,Native,Bird,0
Joshua Tree National Park,Setophaga ruticilla,Native,Bird,4
Joshua Tree National Park,Setophaga townsendi,Native,Bird,38
Joshua Tree National Park,Amphispiza belli,Native,Bird,32
Joshua Tree National Park,Chondestes grammacus,Native,Bird,8
Joshua Tree National Park,Melospiza melodia,Native,Bird,13
Joshua Tree National Park,Passerculus sandwichensis,Native,Bird,16
Joshua Tree National Park,Pipilo maculatus,Native,Bird,95
Joshua Tree National Park,Spizella breweri,Native,Bird,53
Joshua Tree National Park,Zonotrichia atricapilla,Native,Bird,14
Joshua Tree National Park,Passer domesticus,Non-native,Bird,6
Joshua Tree National Park,Phainopepla nitens,Native,Bird,67
Joshua Tree National Park,Auriparus flaviceps,Native,Bird,70
Joshua Tree National Park,Sitta pygmaea,Native,Bird,8
Joshua Tree National Park,Catherpes mexicanus,Native,Bird,61
Joshua Tree National Park,Thryomanes bewickii,Native,Bird,115
Joshua Tree National Park,Catharus guttatus,Native,Bird,45
Joshua Tree National Park,Myadestes townsendi,Native,Bird,26
Joshua Tree National Park,Turdus migratorius,Native,Bird,40
Joshua Tree National Park,Contopus sordidulus,Native,Bird,36
Joshua Tree National Park,Empidonax minimus,Native,Bird,0
Joshua Tree National Park,Empidonax wrightii,Native,Bird,13
Joshua Tree National Park,Myiarchus tyrannulus,Native,Bird,0
Joshua Tree National Park,Sayornis saya,Native,Bird,50
Joshua Tree National Park,Vireo bellii,Native,Bird,2
Joshua Tree National Park,Vireo huttoni,Native,Bird,3
Joshua Tree National Park,Ardea herodias,Native,Bird,4
Joshua Tree National Park,Butorides virescens,Native,Bird,11
Joshua Tree National Park,Ixobrychus exilis,Native,Bird,0
Joshua Tree National Park,Pelecanus occidentalis,Native,Bird,0
Joshua Tree National Park,Colaptes auratus,Native,Bird,45
Joshua Tree National Park,Melanerpes formicivorus,Native,Bird,9
Joshua Tree National Park,Picoides albolarvatus,Native,Bird,2
Joshua Tree National Park,Picoides scalaris,Native,Bird,107
Joshua Tree National Park,Sphyrapicus ruber,Native,Bird,1
