id,observed_on_string,observed_on,scientific_name,common_name,observed_in
485,05/02/08,2008-05-02,Phainopepla nitens,Phainopepla,Joshua Tree National Park
486,05/03/08,2008-05-03,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
1842,"March 07, 2009 09:00",2009-03-07,Calypte anna,Anna's Hummingbird,Joshua Tree National Park
1843,"March 07, 2009 08:55",2009-03-07,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
2063,"March 07, 2009 11:49",2009-03-07,Spinus psaltria,Lesser Goldfinch,Joshua Tree National Park
2064,"March 07, 2009 10:56",2009-03-07,Calypte anna,Anna's Hummingbird,Joshua Tree National Park
2065,"March 06, 2009 15:39",2009-03-06,Phainopepla nitens,Phainopepla,Joshua Tree National Park
2066,"March 08, 2009 07:52",2009-03-08,Sayornis saya,Say's Phoebe,Joshua Tree National Park
2067,"March 08, 2009 07:00",2009-03-08,Lanius ludovicianus,Loggerhead Shrike,Joshua Tree National Park
2068,"March 08, 2009 06:56",2009-03-08,Campylorhynchus brunneicapillus,Cactus Wren,Joshua Tree National Park
2069,"March 07, 2009 13:06",2009-03-07,Phainopepla nitens,Phainopepla,Joshua Tree National Park
27233,"August 4, 2011 2:29:13 PM PDT",2011-08-04,Piranga ludoviciana,Western Tanager,Joshua Tree National Park
27242,"August 4, 2011 3:19:38 PM PDT",2011-08-04,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
27256,"August 4, 2011 4:26:10 PM PDT",2011-08-04,Dryobates scalaris,Ladder-backed Woodpecker,Joshua Tree National Park
36548,2010-04-03,2010-04-03,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
36550,2010-04-03,2010-04-03,Lanius ludovicianus,Loggerhead Shrike,Joshua Tree National Park
62134,2011-12-28,2011-12-28,Campylorhynchus brunneicapillus,Cactus Wren,Joshua Tree National Park
64909,2009-03-31,2009-03-31,Pelecanus erythrorhynchos,American White Pelican,Joshua Tree National Park
65274,2009-03-30,2009-03-30,Anas platyrhynchos,Mallard,Joshua Tree National Park
65291,2009-03-29,2009-03-29,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
140996,"October 26, 2012 11:38",2012-10-26,Corvus corax,Common Raven,Joshua Tree National Park
169940,2012-12-12,2012-12-12,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
169945,2012-12-12,2012-12-12,Toxostoma lecontei,LeConte's Thrasher,Joshua Tree National Park
169946,2012-12-12,2012-12-12,Aphelocoma californica,California Scrub-Jay,Joshua Tree National Park
169947,2012-12-12,2012-12-12,Phainopepla nitens,Phainopepla,Joshua Tree National Park
169948,2012-12-12,2012-12-12,Campylorhynchus brunneicapillus,Cactus Wren,Joshua Tree National Park
169949,2012-12-12,2012-12-12,Astur cooperii,Cooper's Hawk,Joshua Tree National Park
169950,2012-12-12,2012-12-12,Campylorhynchus brunneicapillus,Cactus Wren,Joshua Tree National Park
169960,2012-12-13,2012-12-13,Lanius ludovicianus,Loggerhead Shrike,Joshua Tree National Park
218081,2013-03-13 02:03:09,2013-03-13,Phainopepla nitens,Phainopepla,Joshua Tree National Park
218114,2013-03-14 21:53:41,2013-03-14,Oreoscoptes montanus,Sage Thrasher,Joshua Tree National Park
218135,2013-03-13 02:30:23,2013-03-13,Polioptila melanura,Black-tailed Gnatcatcher,Joshua Tree National Park
218136,2013-03-13 02:02:26,2013-03-13,Haemorhous mexicanus,House Finch,Joshua Tree National Park
218331,2013-03-15,2013-03-15,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
218728,2013-03-15 03:45:46,2013-03-15,Calypte anna,Anna's Hummingbird,Joshua Tree National Park
218729,2013-03-15 03:43:58,2013-03-15,Thryomanes bewickii,Bewick's Wren,Joshua Tree National Park
218836,2013-03-15,2013-03-15,Campylorhynchus brunneicapillus,Cactus Wren,Joshua Tree National Park
218858,2013-03-14,2013-03-14,Dryobates scalaris,Ladder-backed Woodpecker,Joshua Tree National Park
218871,2013-03-14,2013-03-14,Lanius ludovicianus,Loggerhead Shrike,Joshua Tree National Park
219393,2013-03-14,2013-03-14,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
219402,2013-03-14,2013-03-14,Phainopepla nitens,Phainopepla,Joshua Tree National Park
224929,2013-03-28,2013-03-28,Corvus corax,Common Raven,Joshua Tree National Park
224930,2013-03-28,2013-03-28,Melospiza lincolnii,Lincoln's Sparrow,Joshua Tree National Park
224931,2013-03-28,2013-03-28,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
224932,2013-03-28,2013-03-28,Phainopepla nitens,Phainopepla,Joshua Tree National Park
225726,2013-03-29,2013-03-29,Phainopepla nitens,Phainopepla,Joshua Tree National Park
225727,2013-03-29,2013-03-29,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
225728,2013-03-29,2013-03-29,Salpinctes obsoletus,Rock Wren,Joshua Tree National Park
225729,2013-03-29,2013-03-29,Campylorhynchus brunneicapillus,Cactus Wren,Joshua Tree National Park
225730,2013-03-29,2013-03-29,Psaltriparus minimus,Bushtit,Joshua Tree National Park
225732,2013-03-29,2013-03-29,Lanius ludovicianus,Loggerhead Shrike,Joshua Tree National Park
226227,2013-03-24,2013-03-24,Toxostoma redivivum,California Thrasher,Joshua Tree National Park
