id,observed_on_string,observed_on,time_observed_at,scientific_name,common_name,iconic_taxon_name
24173,"July 05, 2011 16:15",2011-07-05,2011-07-05 23:15:00 +0000,Eremophila alpestris,Horned Lark,Aves
69999,2012-04-24,2012-04-24,,Haliaeetus leucocephalus,Bald Eagle,Aves
159058,1999-06-04,1999-06-04,,Dendragapus fuliginosus,Sooty Grouse,Aves
165469,2012-04-21 09:08:36,2012-04-21,2012-04-21 16:08:36 +0000,Troglodytes pacificus,Pacific Wren,Aves
165470,2012-04-21 09:14:55,2012-04-21,2012-04-21 16:14:55 +0000,Turdus migratorius,American Robin,Aves
165488,2012-04-21 08:43:44,2012-04-21,2012-04-21 15:43:44 +0000,Cyanocitta stelleri,Steller's Jay,Aves
165489,2012-04-21 08:42:42,2012-04-21,2012-04-21 15:42:42 +0000,Dryobates villosus,Hairy Woodpecker,Aves
184799,"June 25, 2012 11:28",2012-06-25,2012-06-25 15:28:00 +0000,Perisoreus canadensis,Canada Jay,Aves
184800,"June 25, 2012 11:34",2012-06-25,2012-06-25 15:34:00 +0000,Cyanocitta stelleri,Steller's Jay,Aves
184802,"June 25, 2012 16:22",2012-06-25,2012-06-25 20:22:00 +0000,Cyanocitta stelleri,Steller's Jay,Aves
249295,2013-04-27,2013-04-27,,Corvus corax,Common Raven,Aves
249324,2013-04-27,2013-04-27,,Cyanocitta stelleri,Steller's Jay,Aves
249327,2013-04-27,2013-04-27,,Junco hyemalis,Dark-eyed Junco,Aves
252956,2013-04-27,2013-04-27,,Dryobates villosus,Hairy Woodpecker,Aves
312805,Mon Jun 24 2013 13:11:05 GMT-0700 (PDT),2013-06-24,2013-06-24 20:11:05 +0000,Dendragapus fuliginosus,Sooty Grouse,Aves
346632,2013-07-26 10:35:36 AM PDT,2013-07-26,2013-07-26 17:35:36 +0000,Histrionicus histrionicus,Harlequin Duck,Aves
352999,2013-07-22,2013-07-22,,Dendragapus fuliginosus,Sooty Grouse,Aves
357952,2012-10-12,2012-10-12,,Troglodytes pacificus,Pacific Wren,Aves
361171,2013-08-09,2013-08-09,,Dendragapus fuliginosus,Sooty Grouse,Aves
361172,2013-08-09,2013-08-09,,Molothrus ater,Brown-headed Cowbird,Aves
361173,2013-08-09,2013-08-09,,Setophaga petechia,Yellow Warbler,Aves
363435,2013-08-10,2013-08-10,,Setophaga townsendi,Townsend's Warbler,Aves
363639,2013-08-10,2013-08-10,,Setophaga coronata,Yellow-rumped Warbler,Aves
363641,2013-08-10,2013-08-10,,Perisoreus canadensis,Canada Jay,Aves
363644,2013-08-10,2013-08-10,,Turdus migratorius,American Robin,Aves
363811,2013-08-10,2013-08-10,,Dryobates villosus,Hairy Woodpecker,Aves
393091,"August 03, 2013 14:36",2013-08-03,2013-08-03 21:36:00 +0000,Anthus rubescens,American Pipit,Aves
653685,2014-04-30,2014-04-30,,Strix varia,Barred Owl,Aves
653748,2014-05-01,2014-05-01,,Hydroprogne caspia,Caspian Tern,Aves
653749,2014-05-01,2014-05-01,,Tachycineta thalassina,Violet-green Swallow,Aves
654071,2014-05-01,2014-05-01,,Mergus merganser,Common Merganser,Aves
715994,Mon Jun 02 2014 16:23:49 GMT-0700 (PDT),2014-06-02,2014-06-02 23:23:49 +0000,Haliaeetus leucocephalus,Bald Eagle,Aves
792883,2012-08-09 13:59:33,2012-08-09,2012-08-09 20:59:33 +0000,Aix sponsa,Wood Duck,Aves
868175,2014-09-07,2014-09-07,,Corvus brachyrhynchos,American Crow,Aves
868196,2014-09-07,2014-09-07,,Charadrius semipalmatus,Semipalmated Plover,Aves
868197,2014-09-07,2014-09-07,,Arenaria melanocephala,Black Turnstone,Aves
868735,2014-06-01,2014-06-01,,Numenius phaeopus,Whimbrel,Aves
888735,2014-09-20,2014-09-20,,Cinclus mexicanus,American Dipper,Aves
1029795,2014-08-22,2014-08-22,,Troglodytes pacificus,Pacific Wren,Aves
1029814,2014-08-22,2014-08-22,,Aix sponsa,Wood Duck,Aves
1031353,2014-08-23,2014-08-23,,Anas platyrhynchos,Mallard,Aves
1031357,2014-08-23,2014-08-23,,Aix sponsa,Wood Duck,Aves
1031358,2014-08-23,2014-08-23,,Melospiza melodia,Song Sparrow,Aves
1031364,2014-08-23,2014-08-23,,Perisoreus canadensis,Canada Jay,Aves
1032755,2014-08-24,2014-08-24,,Tringa incana,Wandering Tattler,Aves
1032757,2014-08-24,2014-08-24,,Loxia curvirostra,Red Crossbill,Aves
1032758,2014-08-24,2014-08-24,,Haliaeetus leucocephalus,Bald Eagle,Aves
1032762,2014-08-24,2014-08-24,,Gavia pacifica,Pacific Loon,Aves
1059249,2014-11-06,2014-11-06,,Corvus corax,Common Raven,Aves
1165294,2014-11-09,2014-11-09,,Corvus corax,Common Raven,Aves
