id,observed_on_string,observed_on,user_login,scientific_name,common_name
4175,"December 30, 2009 13:46",2009-12-30,godutchbaby,Corvus corax,Common Raven
13611,2009-06-14,2009-06-14,chriswbrown,Dendragapus fuliginosus,Sooty Grouse
24481,"July 8, 2011 7:38:36 AM PDT",2011-07-08,chriswbrown,Pheucticus melanocephalus,Black-headed Grosbeak
24497,"July 9, 2011 10:26:26 AM PDT",2011-07-09,chriswbrown,Cyanocitta stelleri,Steller's Jay
40529,2011-08-26,2011-08-26,mbouse,Cyanocitta stelleri,Steller's Jay
40533,2011-08-26,2011-08-26,mbouse,Dryocopus pileatus,Pileated Woodpecker
100742,2010-11-20,2010-11-20,dbring,Corvus corax,Common Raven
111240,2010-07-10,2010-07-10,jessicafriedman180,Strix nebulosa,Great Gray Owl
126756,2012-09-21,2012-09-21,jmaughn,Zonotrichia leucophrys,White-crowned Sparrow
126768,2012-09-23,2012-09-23,jmaughn,Dryobates albolarvatus,White-headed Woodpecker
127352,2012-09-21,2012-09-21,jmaughn,Cyanocitta stelleri,Steller's Jay
165564,2012-12-09,2012-12-09,cyric,Cyanocitta stelleri,Steller's Jay
165565,2012-12-09,2012-12-09,cyric,Poecile rufescens,Chestnut-backed Chickadee
165568,2012-12-10,2012-12-10,cyric,Dryobates villosus,Hairy Woodpecker
165569,2012-12-10,2012-12-10,cyric,Catherpes mexicanus,Canyon Wren
199024,2012-11-23 16:57:47,2012-11-23,finatic,Buteo lineatus,Red-shouldered Hawk
199025,2012-11-23 16:49:33,2012-11-23,finatic,Sayornis nigricans,Black Phoebe
199026,2012-11-23 15:51:28,2012-11-23,finatic,Corthylio calendula,Ruby-crowned Kinglet
199027,2012-11-23 15:44:53,2012-11-23,finatic,Spinus pinus,Pine Siskin
199028,2012-11-23 15:20:14,2012-11-23,finatic,Certhia americana,Brown Creeper
199029,2012-11-23 14:43:40,2012-11-23,finatic,Buteo lineatus,Red-shouldered Hawk
211277,"2012-10-01, 9:05am",2012-10-01,victoriousness,Dendragapus fuliginosus,Sooty Grouse
211298,"2012-10-01, 1:15pm",2012-10-01,victoriousness,Corvus corax,Common Raven
226183,2009-05-13,2009-05-13,pierre_t,Poecile gambeli,Mountain Chickadee
226185,2009-05-13,2009-05-13,pierre_t,Agelaius phoeniceus,Red-winged Blackbird
256394,2013-05-03,2013-05-03,faerthen,Cyanocitta stelleri,Steller's Jay
281576,"May 27, 2013 13:27",2013-05-27,justin2,Piranga ludoviciana,Western Tanager
303309,2013-06-06,2013-06-06,jonathanwitkop,Agelaius phoeniceus,Red-winged Blackbird
308153,"April 22, 2013 15:17",2013-04-22,treichard,Sphyrapicus ruber,Red-breasted Sapsucker
328024,2011-06-15,2011-06-15,howardfriedman1,Cyanocitta stelleri,Steller's Jay
328810,2013-06-10,2013-06-10,howardfriedman1,Sitta canadensis,Red-breasted Nuthatch
330865,2011-06-19,2011-06-19,howardfriedman1,Certhia americana,Brown Creeper
